,Job 1,Job 2,Job 3
Mod-1,BNB/USDT,ETH/USDT,EURS/USDC
Mod-2,BNB/USDT,PLI/USDT,XDC/USDT
Mod-3,EURS/USDC,ETH/USDT,CGO/USDT
Mod-4,CGO/USDT,XDC/USDT,XRP/USDT
Mod-5,CGO/USDT,POL/USDT,SOL/USDT
Mod-6,CGO/USDT,SOL/USDT,XSP/USDT
Mod-7,ETH/USDT,EURS/USDC,POL/USDT
Mod-8,XRP/USDT,XDC/USDT,PLI/USDT
Mod-9,PLI/USDT,XSP/USDT,SOL/USDT
Mod-10,XDC/USDT,XSP/USDT,PLI/USDT
Mod-11,XDC/USDT,BNB/USDT,BTC/USDT
Mod-12,XRP/USDT,ETH/USDT,POL/USDT
Mod-13,PLI/USDT,BNB/USDT,XRP/USDT
Mod-14,BNB/USDT,PLI/USDT,BTC/USDT
Mod-15,XRP/USDT,CGO/USDT,SOL/USDT
Mod-16,BTC/USDT,EURS/USDC,POL/USDT
Mod-17,BTC/USDT,POL/USDT,XSP/USDT
Mod-18,EURS/USDC,XSP/USDT,SOL/USDT
Mod-19,ETH/USDT,BTC/USDT,XDC/USDT
